"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","column"
"1",5.1,3.5,1.4,0.2,"setosa","pawel"
"2",4.9,3,1.4,0.2,"setosa","pawel"
"3",4.7,3.2,1.3,0.2,"setosa","pawel"
"4",4.6,3.1,1.5,0.2,"setosa","pawel"
"5",5,3.6,1.4,0.2,"setosa","pawel"
"6",5.4,3.9,1.7,0.4,"setosa","pawel"
"7",4.6,3.4,1.4,0.3,"setosa","pawel"
"8",5,3.4,1.5,0.2,"setosa","pawel"
"9",4.4,2.9,1.4,0.2,"setosa","pawel"
"10",4.9,3.1,1.5,0.1,"setosa","pawel"
"11",5.4,3.7,1.5,0.2,"setosa","pawel"
"12",4.8,3.4,1.6,0.2,"setosa","pawel"
"13",4.8,3,1.4,0.1,"setosa","pawel"
"14",4.3,3,1.1,0.1,"setosa","pawel"
"15",5.8,4,1.2,0.2,"setosa","pawel"
"16",5.7,4.4,1.5,0.4,"setosa","pawel"
"17",5.4,3.9,1.3,0.4,"setosa","pawel"
"18",5.1,3.5,1.4,0.3,"setosa","pawel"
"19",5.7,3.8,1.7,0.3,"setosa","pawel"
"20",5.1,3.8,1.5,0.3,"setosa","pawel"
"21",5.4,3.4,1.7,0.2,"setosa","pawel"
"22",5.1,3.7,1.5,0.4,"setosa","pawel"
"23",4.6,3.6,1,0.2,"setosa","pawel"
"24",5.1,3.3,1.7,0.5,"setosa","pawel"
"25",4.8,3.4,1.9,0.2,"setosa","pawel"
"26",5,3,1.6,0.2,"setosa","pawel"
"27",5,3.4,1.6,0.4,"setosa","pawel"
"28",5.2,3.5,1.5,0.2,"setosa","pawel"
"29",5.2,3.4,1.4,0.2,"setosa","pawel"
"30",4.7,3.2,1.6,0.2,"setosa","pawel"
"31",4.8,3.1,1.6,0.2,"setosa","pawel"
"32",5.4,3.4,1.5,0.4,"setosa","pawel"
"33",5.2,4.1,1.5,0.1,"setosa","pawel"
"34",5.5,4.2,1.4,0.2,"setosa","pawel"
"35",4.9,3.1,1.5,0.2,"setosa","pawel"
"36",5,3.2,1.2,0.2,"setosa","pawel"
"37",5.5,3.5,1.3,0.2,"setosa","pawel"
"38",4.9,3.6,1.4,0.1,"setosa","pawel"
"39",4.4,3,1.3,0.2,"setosa","pawel"
"40",5.1,3.4,1.5,0.2,"setosa","pawel"
"41",5,3.5,1.3,0.3,"setosa","pawel"
"42",4.5,2.3,1.3,0.3,"setosa","pawel"
"43",4.4,3.2,1.3,0.2,"setosa","pawel"
"44",5,3.5,1.6,0.6,"setosa","pawel"
"45",5.1,3.8,1.9,0.4,"setosa","pawel"
"46",4.8,3,1.4,0.3,"setosa","pawel"
"47",5.1,3.8,1.6,0.2,"setosa","pawel"
"48",4.6,3.2,1.4,0.2,"setosa","pawel"
"49",5.3,3.7,1.5,0.2,"setosa","pawel"
"50",5,3.3,1.4,0.2,"setosa","pawel"
"51",7,3.2,4.7,1.4,"versicolor","pawel"
"52",6.4,3.2,4.5,1.5,"versicolor","pawel"
"53",6.9,3.1,4.9,1.5,"versicolor","pawel"
"54",5.5,2.3,4,1.3,"versicolor","pawel"
"55",6.5,2.8,4.6,1.5,"versicolor","pawel"
"56",5.7,2.8,4.5,1.3,"versicolor","pawel"
"57",6.3,3.3,4.7,1.6,"versicolor","pawel"
"58",4.9,2.4,3.3,1,"versicolor","pawel"
"59",6.6,2.9,4.6,1.3,"versicolor","pawel"
"60",5.2,2.7,3.9,1.4,"versicolor","pawel"
"61",5,2,3.5,1,"versicolor","pawel"
"62",5.9,3,4.2,1.5,"versicolor","pawel"
"63",6,2.2,4,1,"versicolor","pawel"
"64",6.1,2.9,4.7,1.4,"versicolor","pawel"
